source,title,link,summary,published,fetched_at
TechCrunch,OpenAI co-founder Ilya Sutskever’s Safe Superintelligence reportedly valued at $32B,https://techcrunch.com/2025/04/12/openai-co-founder-ilya-sutskevers-safe-superintelligence-reportedly-valued-at-32b/,"Safe Superintelligence (SSI), the AI startup led by OpenAI’s co-founder and former chief scientist Ilya Sutskever, has raised an additional $2 billion in funding at a $32 billion valuation, according to the Financial Times. The startup had already raised $1 billion, and there were reports that an additional $1 billion round was in the works. [&#8230;]","Sat, 12 Apr 2025 19:38:31 +0000",2025-04-13 18:41:45
TechCrunch,The xAI–X merger is a good deal — if you’re betting on Musk’s empire,https://techcrunch.com/2025/04/12/the-xai-x-merger-is-a-good-deal-if-youre-betting-on-musks-empire/,"When Elon Musk announced that his AI startup, xAI, had acquired his social media company, X (formerly known as Twitter), in an all-stock deal, it raised some eyebrows. But in many ways, the deal made sense. xAI’s chatbot, Grok, was already deeply integrated with X, X was floundering financially, and Musk needed a way to [&#8230;]","Sat, 12 Apr 2025 14:00:00 +0000",2025-04-13 18:41:45
TechCrunch,Meta’s vanilla Maverick AI model ranks below rivals on a popular chat benchmark,https://techcrunch.com/2025/04/11/metas-vanilla-maverick-ai-model-ranks-below-rivals-on-a-popular-chat-benchmark/,"Earlier this week, Meta landed in hot water for using an experimental, unreleased version of its Llama 4 Maverick model to achieve a high score on a crowdsourced benchmark, LM Arena. The incident prompted the maintainers of LM Arena to apologize, change their policies, and score the unmodified, vanilla Maverick. Turns out, it&#8217;s not very [&#8230;]","Fri, 11 Apr 2025 22:46:22 +0000",2025-04-13 18:41:45
TechCrunch,The most interesting startups showcased at Google Cloud Next,https://techcrunch.com/2025/04/11/the-most-interesting-startups-showcased-at-google-cloud-next/,Google Cloud announced a long list of impressive AI startups as customers during its Cloud Next conference this week,"Fri, 11 Apr 2025 21:32:01 +0000",2025-04-13 18:41:45
TechCrunch,Law professors side with authors battling Meta in AI copyright case,https://techcrunch.com/2025/04/11/law-professors-side-with-authors-battling-meta-in-ai-copyright-case/,"A group of professors specializing in copyright law has filed an amicus brief in support of authors suing Meta for allegedly training its Llama AI models on e-books without permission. The brief, filed on Friday in the U.S. District Court for the Northern District of California, San Francisco Division, calls Meta’s fair use defense &#8220;a [&#8230;]","Fri, 11 Apr 2025 21:08:11 +0000",2025-04-13 18:41:45
Wired Tech,Sex-Fantasy Chatbots Are Leaking a Constant Stream of Explicit Messages,https://www.wired.com/story/sex-fantasy-chatbots-are-leaking-explicit-messages-every-minute/,Some misconfigured AI chatbots are pushing people’s chats to the open web—revealing sexual prompts and conversations that include descriptions of child sexual abuse.,"Fri, 11 Apr 2025 10:30:00 +0000",2025-04-13 18:41:45
Ars Technica,"AI isn’t ready to replace human coders for debugging, researchers say",https://arstechnica.com/ai/2025/04/researchers-find-ai-is-pretty-bad-at-debugging-but-theyre-working-on-it/,"Even when given access to tools, AI agents can't reliably debug software.","Fri, 11 Apr 2025 22:26:58 +0000",2025-04-13 18:42:03
Ars Technica,That groan you hear is users’ reaction to Recall going back into Windows,https://arstechnica.com/security/2025/04/microsoft-is-putting-privacy-endangering-recall-back-into-windows-11/,Snapshotting and AI processing a screen every 3 seconds. What could possibly go wrong?,"Fri, 11 Apr 2025 18:45:40 +0000",2025-04-13 18:42:03
Ars Technica,Quantum hardware may be a good match for AI,https://arstechnica.com/science/2025/04/companies-take-a-step-toward-running-ai-on-quantum-hardware/,New manuscript describes analyzing image data in a quantum processor.,"Fri, 11 Apr 2025 14:46:31 +0000",2025-04-13 18:42:03
Ars Technica,Researchers concerned to find AI models misrepresenting their “reasoning” processes,https://arstechnica.com/ai/2025/04/researchers-concerned-to-find-ai-models-hiding-their-true-reasoning-processes/,New Anthropic research shows AI models often fail to disclose reasoning shortcuts.,"Thu, 10 Apr 2025 22:37:13 +0000",2025-04-13 18:42:03
